site|state	city, state	address	zip
340|NV	Fernley, NV	465 Pilot Road	89408
341|NV	North Las Vegas, NV	3812 East Craig Road	89031
343|CA	San Diego, CA	1497 Piper Ranch Road	92154
346|SC	Lugoff, SC	522 Highway 601 South	29078
348|PA	Bentleyville, PA	205 Wilson Road	15314
350|ID	Mountain Home, ID	1050 Highway 20	83647
352|FL	Fort Myers, FL	6050 Plaza Drive	33905
353|KY	Georgetown, KY	110 Triport Road	40324
354|KY	Simpsonville, KY	819 Buck Creek Road	40067
356|KY	Shepherdsville, KY	2050 East Blue Lick Road	40165
358|KY	Paducah, KY	5353 Cairo Road	42001
360|OH	Findlay, OH	11471 State Route 613W	45840
365|CA	Madera, CA	22717 Avenue 18 1/2	93637
366|TN	Jackson, TN	30 Sand Pebble Road	38305
367|TX	Caddo Mills, TX	2226 FM-1903 I-30 & FM 1903 Exit 87	75135
368|IL	Decatur, IL	4030 East Boyd Road	62521
370|PA	Pittston, PA	417 Route 315	18640
372|CA	Castaic, CA	31642 Castaic Road	91384
373|IA	Urbandale, IA	11957 Douglas Avenue	50322
374|FL	Marianna, FL	2209 Highway 71	32448
375|TX	Houston, TX	4440 North McCarty Street	77013
377|TX	Laredo, TX	1101 Uniroyal Drive	78045
380|NY	Liverpool, NY	107 Seventh North Street	13088
381|CA	Hesperia, CA	8701 Highway 395	92345
384|VA	Colonial Heights, VA	2126 Ruffin Mill Road	23834
385|MO	Collins, MO	Hwy 13 South and US 54	64738
386|OR	Salem, OR	4220 Brooklake Road	97305
388|MS	Meridian, MS	1555 Tommy Webb Drive	39307
390|OR	Stanfield, OR	2115 Highway 395	97875
391|OR	Central Point, OR	1600 East Pine Street	97502
393|NC	Waynesville, NC	3712 Crabtree Road	28786
394|NY	Newburgh, NY	239 Route 17K	12550
396|VA	Staunton, VA	3541 Lee Jackson Highway	24401
399|KY	Lebanon Junction, KY	150 Park Plaza Boulevard	40150
402|WY	Cheyenne, WY	8020 Campstool Road	82007
404|TN	Murfreesboro, TN	2441 South Church Street	37127
406|TN	Cornersville, TN	9211 Lewisburg Highway	37047
407|IA	Clear Lake, IA	2411 US Highway 18 East	50428
408|MD	Grantsville, MD	3000 Chestnut Ridge Road	21536
409|TN	Dickson, TN	2320 Highway 46 South	37055
475|NM	Moriarty, NM	305 W. Abrahames Road	87035
476|IL	Woodhull, IL	900 Plaza Avenue	61490
477|TX	Anna, TX	714 S. Central Expressway	75409
478|IN	Leavenworth, IN	6921 South SR 66	47137
481|TN	Mc Donald, TN	281 Pleasant Grove Road SW	37353
482|IL	Mt. Vernon, IL	4610 Broadway	62864
483|IL	Morris, IL		
485|NV	Winnemucca, NV	5625 I-80 West Winnemucca Exchange	89445
486|TX	Tyler, TX	12881 FM 14 A	75706
488|TX	Cotulla, TX	921 N. IH 35	78014
489|ND	Grand Forks, ND	4401 32nd Avenue South	58201
491|VA	Harrisonburg, VA	3634 North Valley Pike	22802
492|AR	Arkadelphia, AR	170 Valley Street	71923
493|SC	St George, SC	113 Motel Drive	29477
494|NY	Schenectady, NY	1128 Duanesburg Road	12306
495|IA	Brooklyn, IA	4126 Highway 21	52211
497|AL	Lincoln, AL	121 Honda Drive	35096
498|OK	Atoka, OK		
500|FL	Jasper, FL		
503|WV	Morgantown, WV	2309 Smithtown Road I-79 Exit 146	26508
504|OR	Klamath Falls, OR	3817 N Hwy 97	97601
507|TX	Jarrell, TX	11710 North Interstate 35	76537
509|UT	Beaver, UT	653 West 1400 North	84713
510|UT	Scipio, UT	810 North 800 West	84656
511|ND	Mandan, ND		
513|NV	Jean, NV	115 West Primm Blvd.	89019
514|IL	Lincoln, IL	2903 Woodlawn Road	62656
517|PA	Duncannon, PA	30 Benvenue Road	17020
518|PA	Frystown, PA	2210 Camp Swatara Road	17067
549|NC	Mt Airy, NC	125 Plaza Lane	27030
550|ND	Minot, ND	3800 Highway 2 and 52 W	58701
551|TX	Cisco, TX		
552|OH	Lebanon, OH		
553|TX	Fort Stockton, TX	2571 N. Front Street	79735
554|TX	George West, TX		
557|NM	Hobbs, NM		
559|TX	Big Spring, TX		
568|TX	Von Ormy, TX	14555 IH35 South	78073
571|MO	Charleston, MO	2460 E. Highway 60	63834
572|IA	Williams, IA	3040 220th Street	50271
573|TX	Hempstead, TX		
